Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
KXETTANTOTAL                   36   165.0   16.50  DEAD
KXSCOURT                       35     1.5    0.15  WORTH A FAIR VALUE
KX2028RRUN                     35    15.0    1.50  WORTH A FAIR VALUE
KXNCAAMBTOPAPRANK              35   330.0   33.00  DEAD
KXCPLTEAMTOTAL                 35   485.0   48.50  DEAD
KXLALIGASPREAD                 35    15.0    1.50  WORTH A FAIR VALUE
KXNASCARTOP20                  35   140.0   14.00  DEAD
KXNASCARTOP10                  35   230.0   23.00  DEAD
KXHOODA                        34    35.0    3.50  DEAD
KXSONGRELEASE                  34    35.0    3.50  DEAD
KXLEADERSOUT                   34    12.5    1.25  WORTH A FAIR VALUE
KXCS2TOTALMAPS                 34   430.0   43.00  DEAD
KXNCAAFBIGTENREGTOP            33   100.0   10.00  DEAD
KXTRUMPPARDON                  33    19.0    1.90  UNRESOLVED
KXNCAAFTOPAPRANK               33    55.0    5.50  DEAD
KXLIGAPORTUGALGAME             33    10.0    1.00  WORTH A FAIR VALUE
KXLALIGA2GAME                  33    20.0    2.00  UNRESOLVED
KXNASDAQ100                    33    20.0    2.00  UNRESOLVED
KXMLSFTTS                      33    25.0    2.50  UNRESOLVED
KXMLBSB                        33    10.0    1.00  WORTH A FAIR VALUE
KXPRESNOMR                     32     0.5    0.05  WORTH A FAIR VALUE
KXMELIA                        32    50.0    5.00  DEAD
KXNEXTTEAMNFL                  32    25.0    2.50  UNRESOLVED
KXNFLPLAYOFFHOST               32   245.0   24.50  DEAD
KXTSLA                         32    45.0    4.50  DEAD
KXNFLPLAYOFF                   32     5.0    0.50  WORTH A FAIR VALUE
KXNCAAFFINALIST                32    32.5    3.25  DEAD
KXEBOLACOUNTRY                 32    32.5    3.25  DEAD
KXCOPPAITALIASPREAD            32    42.5    4.25  DEAD
KXATPDOUBLES                   32   122.5   12.25  DEAD
KXWTADOUBLES                   32   125.0   12.50  DEAD
KXTRUMPADMINLEAVE              31     5.0    0.50  WORTH A FAIR VALUE
KXMEDIAGUESTKIMMEL             31    70.0    7.00  DEAD
KXYTVIEWSW                     31   200.0   20.00  DEAD
KXNFL2HSPREAD                  31   110.0   11.00  DEAD
KXUEFAEUROQUAL                 30    90.0    9.00  DEAD
KXNBAPLAYOFF                   30    10.0    1.00  WORTH A FAIR VALUE
KXNBAPLAYIN                    30    60.0    6.00  DEAD
KXNFLCOTY                      30     5.0    0.50  WORTH A FAIR VALUE
KXPERFORMSUPERBOWL             30    30.0    3.00  DEAD
KXNFLAWARDFIN                  30   420.0   42.00  DEAD
KXNCAAFSECREGTOP               30   132.5   13.25  DEAD
KXOSCARNOMACTO                 30    15.0    1.50  WORTH A FAIR VALUE
KXNCAAFQF                      30   100.0   10.00  DEAD
KXVOGUECOVER                   30    70.0    7.00  DEAD
KXWTIMAX                       30   355.0   35.50  DEAD
KXBILLS                        30     5.0    0.50  WORTH A FAIR VALUE
KXARGPREMDIV                   30    22.5    2.25  UNRESOLVED
KXLAPRIMARY                    30    16.0    1.60  UNRESOLVED
KXSECPRESSMENTION              30    35.0    3.50  DEAD
KXPGATOP5                      30    15.0    1.50  WORTH A FAIR VALUE
