Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
GOVPARTYME                      2    12.2    1.23  INSUFFICIENT
GOVPARTYAZ                      2     7.5    0.75  INSUFFICIENT
KXWBCWELTERWEIGHTTITLE          2   370.0   37.00  INSUFFICIENT
KXYTUBESUBSBEAST                2    20.0    2.00  INSUFFICIENT
KXXIUSA                         2    17.5    1.75  INSUFFICIENT
KXUSFUNDHEAD                    2    20.0    2.00  INSUFFICIENT
KXTRUMPTHUNEOUT                 2   137.5   13.75  INSUFFICIENT
KXTARIFFBILL                    2   187.5   18.75  INSUFFICIENT
KXSTARSHIPFL                    2    15.0    1.50  INSUFFICIENT
KXSNAPELECTIONRS                2    32.5    3.25  INSUFFICIENT
KXSECQUARTERLY                  2    30.0    3.00  INSUFFICIENT
KXSBUDGETRES                    2    25.0    2.50  INSUFFICIENT
KXRESTOREDEFERRAL               2   270.0   27.00  INSUFFICIENT
KXMESENOUTCOME                  2     5.0    0.50  INSUFFICIENT
KXMCDONALDCONF                  2    30.0    3.00  INSUFFICIENT
KXMACHADOVENEZUELA              2    25.0    2.50  INSUFFICIENT
KXKOSPI                         2    85.0    8.50  INSUFFICIENT
KXGTEMP                         2    10.8    1.07  INSUFFICIENT
KXGEMINI                        2     5.0    0.50  INSUFFICIENT
KXEXPUNGEIMPEACH                2    27.5    2.75  INSUFFICIENT
KXENGAGEMENTPUKA                2    10.0    1.00  INSUFFICIENT
KXEACNOM                        2    32.5    3.25  INSUFFICIENT
KXDATASET13                     2    33.2    3.33  INSUFFICIENT
KXCOMEYDISMISS                  2    32.5    3.25  INSUFFICIENT
KXCAATSA                        2    30.0    3.00  INSUFFICIENT
KXBRIANCONF                     2    22.5    2.25  INSUFFICIENT
KXALBUMRELEASEDATETRAVIS        2    37.5    3.75  INSUFFICIENT
KXAIREVIEW                      2    27.5    2.75  INSUFFICIENT
GOVPARTYNY                      2     3.0    0.30  INSUFFICIENT
GOVPARTYNM                      2     6.8    0.68  INSUFFICIENT
KXZECY                          2    95.0    9.50  INSUFFICIENT
KXZECMINY                       2    90.0    9.00  INSUFFICIENT
KXXRPMINY                       2    37.5    3.75  INSUFFICIENT
KXXRPMAXY                       2    22.5    2.25  INSUFFICIENT
KXNEARMINY                      2   100.0   10.00  INSUFFICIENT
KXWTIVSBRENT                    2    22.5    2.25  INSUFFICIENT
KXINXVSINXEW                    2    67.5    6.75  INSUFFICIENT
KXINXVSGOLD                     2    32.5    3.25  INSUFFICIENT
KXINXVSBTC                      2     7.5    0.75  INSUFFICIENT
KXGOLDVSSILVER                  2    50.0    5.00  INSUFFICIENT
KXDXYVSGOLD                     2   222.5   22.25  INSUFFICIENT
KXWNBA6POY                      2    35.0    3.50  INSUFFICIENT
KXVOTESAVEAMERICA               2    20.0    2.00  INSUFFICIENT
KXTOPSONGSPOTIFYUSA             2    10.0    1.00  INSUFFICIENT
KXMLBNLRELOTY                   2    72.5    7.25  INSUFFICIENT
KXMLBNLMVP                      2     5.0    0.50  INSUFFICIENT
KXMLBNLCPOTY                    2    72.5    7.25  INSUFFICIENT
KXMLBALHAARON                   2    60.0    6.00  INSUFFICIENT
KXTOPSONGS                      2    37.5    3.75  INSUFFICIENT
KXATTYGENND                     2    35.0    3.50  INSUFFICIENT
KXURYPD                         2   360.0   36.00  INSUFFICIENT
GOVPARTYHI                      2    12.0    1.20  INSUFFICIENT
KXBRASILEIRO                    2    72.5    7.25  INSUFFICIENT
KXWNBAALLTEAM                   2   337.5   33.75  INSUFFICIENT
KXWNBAALLDEFENSE                2   287.5   28.75  INSUFFICIENT
KXCHNSL                         2    62.5    6.25  INSUFFICIENT
KXSECSTATEIN                    2    25.0    2.50  INSUFFICIENT
KXLTGOVTX                       2    27.5    2.75  INSUFFICIENT
KXCALIEUTENANTGOV               2    23.8    2.38  INSUFFICIENT
KXCA17PERSON                    2    19.0    1.90  INSUFFICIENT
KXMLBWINS-STL                   2   385.0   38.50  INSUFFICIENT
KXMLBWINS-SEA                   2   180.0   18.00  INSUFFICIENT
KXMLBWINS-PIT                   2   180.0   18.00  INSUFFICIENT
KXMLBWINS-KC                    2   117.5   11.75  INSUFFICIENT
KXMLBWINS-CWS                   2   260.0   26.00  INSUFFICIENT
KXMLBWINS-CHC                   2   160.0   16.00  INSUFFICIENT
KXSECSTATEMI                    2    22.5    2.25  INSUFFICIENT
KXSECSTATECO                    2    25.0    2.50  INSUFFICIENT
KXUSVIGOV                       2   187.5   18.75  INSUFFICIENT
KXTXRAILROAD                    2    27.5    2.75  INSUFFICIENT
KXTXGLO                         2    27.5    2.75  INSUFFICIENT
KXTXCOMPTROLLER                 2    30.0    3.00  INSUFFICIENT
KXTXAGCOM                       2    12.5    1.25  INSUFFICIENT
KXTHUNEOUT                      2    17.5    1.75  INSUFFICIENT
KXSENATEWYR                     2    21.5    2.15  INSUFFICIENT
KXSENATEWYD                     2    27.5    2.75  INSUFFICIENT
KXSENATEOKD                     2     5.0    0.50  INSUFFICIENT
KXSENATENHR                     2    26.5    2.65  INSUFFICIENT
KXSENATENHD                     2    18.8    1.88  INSUFFICIENT
KXSENATEFLR                     2     5.2    0.53  INSUFFICIENT
KXSENATEFLD                     2     4.0    0.40  INSUFFICIENT
KXSENATEDER                     2    31.5    3.15  INSUFFICIENT
KXRIPRIMARY                     2    25.0    2.50  INSUFFICIENT
KXRENOMAYOR                     2    27.5    2.75  INSUFFICIENT
KXPASEN                         2    27.5    2.75  INSUFFICIENT
KXPAHOUSE                       2    35.0    3.50  INSUFFICIENT
KXOHHAWKINS                     2    15.0    1.50  INSUFFICIENT
KXOHBRUNNER                     2    15.0    1.50  INSUFFICIENT
KXOAKLANDMAYOR                  2    27.5    2.75  INSUFFICIENT
KXMOVGANCSEN                    2    10.0    1.00  INSUFFICIENT
KXMISENATE                      2     5.0    0.50  INSUFFICIENT
KXMDSD2                         2     5.0    0.50  INSUFFICIENT
KXLOUISVILLEMAYOR               2    20.0    2.00  INSUFFICIENT
KXIASENATE                      2    15.0    1.50  INSUFFICIENT
KXGUAMGOV                       2    30.0    3.00  INSUFFICIENT
KXGOVPARTYAK                    2    20.0    2.00  INSUFFICIENT
KXGOVMANOMR                     2    23.2    2.33  INSUFFICIENT
KXFLINTMAYOR                    2    32.5    3.25  INSUFFICIENT
KXELECTIONEMERGENCY             2     5.2    0.53  INSUFFICIENT
KXCASEN26                       2    27.5    2.75  INSUFFICIENT
KXCA14SWINNER                   2    12.5    1.25  INSUFFICIENT
KXCA11PERSON                    2    12.5    1.25  INSUFFICIENT
KXWNBAPLAYOFF                   2    15.0    1.50  INSUFFICIENT
KXSONGRELEASEDATEPC             2   175.0   17.50  INSUFFICIENT
KXLEADERWNBAAST                 2    25.0    2.50  INSUFFICIENT
KXMLBNLEAST                     2    10.0    1.00  INSUFFICIENT
KXMLBNLCENT                     2    15.0    1.50  INSUFFICIENT
KXLEADERMLBWAR                  2    50.0    5.00  INSUFFICIENT
KXLEADERMLBKS                   2    37.5    3.75  INSUFFICIENT
KXSPGOV                         2    22.5    2.25  INSUFFICIENT
KXRIOGOV                        2    32.5    3.25  INSUFFICIENT
KXWNBA1SEED                     2    17.5    1.75  INSUFFICIENT
KXUSGASCPI                      2    42.5    4.25  INSUFFICIENT
KXCBDECISIONENGLAND             2    17.5    1.75  INSUFFICIENT
KXSENATEMAD                     2     5.0    0.50  INSUFFICIENT
KXGRANDSLAM                     2    17.5    1.75  INSUFFICIENT
KXEMMYDACTO                     2    25.0    2.50  INSUFFICIENT
KXGOLFTENNISMAJORS              2    95.0    9.50  INSUFFICIENT
KXCOACHONDATE                   2     7.5    0.75  INSUFFICIENT
KXMCDFT                         2   215.0   21.50  INSUFFICIENT
KXCBDECISIONEU                  2    17.5    1.75  INSUFFICIENT
KXSENATERIR                     2    25.5    2.55  INSUFFICIENT
KXSENATERID                     2    27.0    2.70  INSUFFICIENT
KXTOPALBUM                      2    85.0    8.50  INSUFFICIENT
KXRAINSEAM                      2    37.5    3.75  INSUFFICIENT
KXRAINLAXM                      2    25.0    2.50  INSUFFICIENT
KXCBDECISIONNZ                  2    45.0    4.50  INSUFFICIENT
KXLAGODAYS                      2     5.0    0.50  INSUFFICIENT
KXCOACHOUTNCAAFB                2    10.0    1.00  INSUFFICIENT
KXETHMINMON                     2     5.0    0.50  INSUFFICIENT
KXDOGEMINMON                    2    67.5    6.75  INSUFFICIENT
KXZAMBIAPRES                    2    21.5    2.15  INSUFFICIENT
KXNJGOLFVISITCOUNT              2    80.0    8.00  INSUFFICIENT
KXCODEAI                        2    27.5    2.75  INSUFFICIENT
KXYTTOPVIDEOG2D                 2   302.5   30.25  INSUFFICIENT
KXPGAHOLEINONE                  2    40.0    4.00  INSUFFICIENT
KXALBUMVS                       2    25.0    2.50  INSUFFICIENT
KXDOGE                          2    20.0    2.00  INSUFFICIENT
KXYTTOPSONGW                    2    25.0    2.50  INSUFFICIENT
KXNETFLIXRANKSHOWGLOBAL2        2    30.0    3.00  INSUFFICIENT
KXNETFLIXRANKSHOW               2     5.0    0.50  INSUFFICIENT
KXNETFLIXRANKMOVIERUNNERUP      2    57.5    5.75  INSUFFICIENT
KXHUNDRED                       2   370.0   37.00  INSUFFICIENT
KXRAIN                          2    17.5    1.75  INSUFFICIENT
KXCANPLBTTS                     2    35.0    3.50  INSUFFICIENT
KXHNLBTTS                       2    25.0    2.50  INSUFFICIENT
KXFRASUPERCUP1HSPREAD           2   280.0   28.00  INSUFFICIENT
KXCZEFLBTTS                     2    22.5    2.25  INSUFFICIENT
KXFRASUPERCUPFTTS               2    30.0    3.00  INSUFFICIENT
KXISRPLCUPBTTS                  2   165.0   16.50  INSUFFICIENT
KXHUNDREDMATCH                  2     5.0    0.50  INSUFFICIENT
KXUAEPLBTTS                     2    40.0    4.00  INSUFFICIENT
KXEFLCHAMPIONSHIP1HBTTS         2    25.0    2.50  INSUFFICIENT
KXENGCS1HSPREAD                 2    50.0    5.00  INSUFFICIENT
KXWHUNDREDMATCH                 2     7.5    0.75  INSUFFICIENT
KXENGCSADVANCE                  2    10.0    1.00  INSUFFICIENT
KXJ2LEAGUEBTTS                  2    37.5    3.75  INSUFFICIENT
KXSVK2LBTTS                     2    42.5    4.25  INSUFFICIENT
KXATPCHALLENGERDOUBLES          2   262.5   26.25  INSUFFICIENT
KXTEMPCHIH                      2   455.0   45.50  INSUFFICIENT
KXZAMBIAASSEMBLY                2    17.0    1.70  INSUFFICIENT
KXPROMISEACT                    2    17.5    1.75  INSUFFICIENT
KXHEARNCHARGE                   2     5.0    0.50  INSUFFICIENT
KXSCRSENS                       2     5.0    0.50  INSUFFICIENT
KXTOPUSAGEAI                    2     7.5    0.75  INSUFFICIENT
KXPIRROOUT                      2    10.0    1.00  INSUFFICIENT
KXCLARITYVOTE                   2    15.0    1.50  INSUFFICIENT
KXLUKEOUT                       2    30.0    3.00  INSUFFICIENT
KXTHCHEMP                       2    27.5    2.75  INSUFFICIENT
KXGA13S                         2    25.0    2.50  INSUFFICIENT
KXMEXCUBOIL                     2    35.0    3.50  INSUFFICIENT
KXWITKOFFRUSSIA                 2    35.0    3.50  INSUFFICIENT
KXGOVOKNOMR                     2     5.0    0.50  INSUFFICIENT
KXDJTENDORSENETANYAHU           2    17.5    1.75  INSUFFICIENT
KXMAYORLA                       2     5.0    0.50  INSUFFICIENT
KXFCCBIG4                       2    27.5    2.75  INSUFFICIENT
KXGTATRAILER                    2     7.5    0.75  INSUFFICIENT
KXFISAEXTEND                    2    12.5    1.25  INSUFFICIENT
KXDROPOUTPRIMARY                2     2.8    0.28  INSUFFICIENT
KXDEFAPPROP                     2    32.5    3.25  INSUFFICIENT
GOVPARTYNE                      2     6.5    0.65  INSUFFICIENT
KXDOGEMAX1                      2     5.0    0.50  INSUFFICIENT
KXTRDBAN                        2    11.8    1.18  INSUFFICIENT
KXLEAVELISACOOK                 2     7.0    0.70  INSUFFICIENT
GOVPARTYKY                      2    27.5    2.75  INSUFFICIENT
GOVPARTYWA                      2    34.8    3.48  INSUFFICIENT
KXELONMARS                      1     5.0    0.50  INSUFFICIENT
KXWARMING                       1    10.0    1.00  INSUFFICIENT
KXMARSVRAIL                     1    25.0    2.50  INSUFFICIENT
KXERUPTSUPER                    1    29.5    2.95  INSUFFICIENT
KXCOLONIZEMARS                  1     5.0    0.50  INSUFFICIENT
KXPERSONPRESMAM                 1    20.0    2.00  INSUFFICIENT
KXPERSONPRESFUENTES             1    10.0    1.00  INSUFFICIENT
KXPOPCHANGESTATE10              1    30.0    3.00  INSUFFICIENT
KXROBOTMARS                     1    18.5    1.85  INSUFFICIENT
KXJOHNNYDEPP                    1    30.0    3.00  INSUFFICIENT
KXBRUVSEAT                      1    28.5    2.85  INSUFFICIENT
KXSOCIALSECURITYDEPLETE         1    35.0    3.50  INSUFFICIENT
KXFDATYPE1DIABETES              1    30.0    3.00  INSUFFICIENT
KXEUCLIMATE                     1    20.5    2.05  INSUFFICIENT
KXINDIACLIMATE                  1     5.0    0.50  INSUFFICIENT
KXACTORTOMCRUZ                  1    35.0    3.50  INSUFFICIENT
KXINDIANAPOWELL                 1    40.0    4.00  INSUFFICIENT
KXCANADACUP                     1    60.0    6.00  INSUFFICIENT
KXPOCHETTINOOUT                 1     5.0    0.50  INSUFFICIENT
KXWCTEAMS                       1    30.0    3.00  INSUFFICIENT
KXUSTAKEOVER                    1    25.0    2.50  INSUFFICIENT
KXTVSEASONRELEASEACOURTOFTH     1    40.0    4.00  INSUFFICIENT
KXSUPERBALLONDOR                1   100.0   10.00  INSUFFICIENT
KXSPORTSOWNERLBJ                1   100.0   10.00  INSUFFICIENT
KXSPACEXMARS                    1    15.0    1.50  INSUFFICIENT
KXSONICS                        1    50.0    5.00  INSUFFICIENT
KXSHOWENDSIMPSONS               1    35.0    3.50  INSUFFICIENT
KXSHOWENDFAMILYGUY              1    35.0    3.50  INSUFFICIENT
KXSCOTUSAR15                    1    25.0    2.50  INSUFFICIENT
KXPOLIOELIM                     1    18.0    1.80  INSUFFICIENT
KXNETWORTHKAICENAT              1    70.0    7.00  INSUFFICIENT
KXNBATEAM                       1    25.0    2.50  INSUFFICIENT
KXNBASEATTLE                    1    30.0    3.00  INSUFFICIENT
KXEARTHQUAKEJAPAN               1     5.0    0.50  INSUFFICIENT
KXDATACENTER                    1    35.0    3.50  INSUFFICIENT
KXCASECESSION                   1    35.0    3.50  INSUFFICIENT
KXBUSHBY                        1    35.0    3.50  INSUFFICIENT
KXBLUESPACEX                    1    10.0    1.00  INSUFFICIENT
KXARTISTCOLLABDRAKEKENDRICK     1    40.0    4.00  INSUFFICIENT
KXEUEXPANSION                   1    30.0    3.00  INSUFFICIENT
KXEUEXIT                        1    35.0    3.50  INSUFFICIENT
KXCHINAUSGDP                    1     5.0    0.50  INSUFFICIENT
KXAMAZONFTC                     1    35.0    3.50  INSUFFICIENT
KX48ETAXCREDIT                  1    15.0    1.50  INSUFFICIENT
KXAPPLEUS                       1    25.0    2.50  INSUFFICIENT
KXSTARSHIPMARS                  1    10.0    1.00  INSUFFICIENT
KXALBERTAREFYES                 1    15.0    1.50  INSUFFICIENT
KXGDPSHAREMANU                  1    37.5    3.75  INSUFFICIENT
KXFULLTERMSKPRES                1    40.0    4.00  INSUFFICIENT
KXMAMDANIRUN                    1    30.0    3.00  INSUFFICIENT
KXGDPUSMAX                      1    43.5    4.35  INSUFFICIENT
KXAMEND22                       1     4.0    0.40  INSUFFICIENT
KXTRUMPRESIGN                   1     5.0    0.50  INSUFFICIENT
KXMTRUSHMORE                    1     9.5    0.95  INSUFFICIENT
KXCANTERRITORY                  1    29.5    2.95  INSUFFICIENT
KXUSAKIM                        1    30.0    3.00  INSUFFICIENT
KXTRUMPSNL                      1    15.0    1.50  INSUFFICIENT
KXTRUMPREMOVE                   1     5.0    0.50  INSUFFICIENT
KXTRUMPPARDONFAMILY             1     5.0    0.50  INSUFFICIENT
KXTERMLIMITS                    1    25.0    2.50  INSUFFICIENT
KXTAFTHARTLEY                   1    35.0    3.50  INSUFFICIENT
KXSTATE                         1    11.0    1.10  INSUFFICIENT
KXSCOTUSCHANGE                  1     8.5    0.85  INSUFFICIENT
KXSCOTUSCERT3RD                 1     3.5    0.35  INSUFFICIENT
KXNEXTLABORSEC                  1    15.0    1.50  INSUFFICIENT
KXNEWCITY                       1    30.0    3.00  INSUFFICIENT
KXMARTIAL                       1    25.0    2.50  INSUFFICIENT
KXJAN6CASES                     1    35.0    3.50  INSUFFICIENT
KXINDJUDICIARY                  1    25.0    2.50  INSUFFICIENT
KXHABEAS                        1    29.0    2.90  INSUFFICIENT
KXH1B                           1    10.0    1.00  INSUFFICIENT
KXFTAPRC                        1    15.0    1.50  INSUFFICIENT
KXFTA                           1    35.0    3.50  INSUFFICIENT
KXFREEIVF                       1    10.0    1.00  INSUFFICIENT
KXDOED                          1    25.0    2.50  INSUFFICIENT
KXCONSTAMEND                    1     6.0    0.60  INSUFFICIENT
KXCAPCONTROL                    1    20.0    2.00  INSUFFICIENT
KXCANAL                         1    15.0    1.50  INSUFFICIENT
KXAMEND25                       1    15.0    1.50  INSUFFICIENT
KXACAREPEAL                     1    10.0    1.00  INSUFFICIENT
KXABRAHAMSY                     1    30.0    3.00  INSUFFICIENT
KXSINNERFINISH                  1   100.0   10.00  INSUFFICIENT
KXQUEBEC                        1    40.0    4.00  INSUFFICIENT
KXOBERGEFELL                    1     4.5    0.45  INSUFFICIENT
KXBANTRANS                      1     5.0    0.50  INSUFFICIENT
KXINEQUALITY                    1    40.0    4.00  INSUFFICIENT
KXPRESELECTIONOCCUR             1    14.0    1.40  INSUFFICIENT
KXTRUMPPRES                     1    18.5    1.85  INSUFFICIENT
KXPRESENDORSEMUSKD              1    28.0    2.80  INSUFFICIENT
KXSANDERSPRES                   1    15.0    1.50  INSUFFICIENT
KXAMERICAPARTY2028              1    36.5    3.65  INSUFFICIENT
KXSORONDO                       1   100.0   10.00  INSUFFICIENT
KXCITRINI                       1    10.0    1.00  INSUFFICIENT
KXSCHUMERRUN                    1     5.0    0.50  INSUFFICIENT
KXAOCSENATE                     1     5.0    0.50  INSUFFICIENT
KXTHUNERUN                      1     5.0    0.50  INSUFFICIENT
KXMANCHINRUN                    1    15.0    1.50  INSUFFICIENT
KXKXMOVIEDELAYBATMANPT2         1   100.0   10.00  INSUFFICIENT
KXNHPRIMARY28                   1    25.0    2.50  INSUFFICIENT
KXUCSAT                         1    35.0    3.50  INSUFFICIENT
KXTAKEOVERNEE                   1    40.0    4.00  INSUFFICIENT
KXPGACURRY                      1    25.0    2.50  INSUFFICIENT
KXNYTOAI                        1     0.5    0.05  INSUFFICIENT
KXWWEFIGHTOCCUR                 1    60.0    6.00  INSUFFICIENT
KXVANCERUBIORUN                 1    30.0    3.00  INSUFFICIENT
KXUFCFIGHTOCCUR                 1    90.0    9.00  INSUFFICIENT
KXSUPERSONIC                    1    35.0    3.50  INSUFFICIENT
KXSTARSHIPDOCK                  1     5.0    0.50  INSUFFICIENT
KXSCOTTIESLAM                   1    10.0    1.00  INSUFFICIENT
KXRIPPLINGDEEL                  1    40.0    4.00  INSUFFICIENT
KXOAIDAMAGE                     1    35.0    3.50  INSUFFICIENT
KXNYCGROCERY                    1    25.0    2.50  INSUFFICIENT
KXNAURURENAME                   1    20.0    2.00  INSUFFICIENT
KXMEDIARELEASESCREAM8           1    40.0    4.00  INSUFFICIENT
KXMEDIARELEASEQUIETPLACE3       1    40.0    4.00  INSUFFICIENT
KXMACRONOWENSLONG               1    35.0    3.50  INSUFFICIENT
KXJUDGMENT                      1    40.0    4.00  INSUFFICIENT
KXGADST                         1    15.0    1.50  INSUFFICIENT
KXELECTRICM3                    1    40.0    4.00  INSUFFICIENT
KXDJTBBC                        1    30.0    3.00  INSUFFICIENT
KXBIDENAMBIEN                   1    25.0    2.50  INSUFFICIENT
KXANTHROPICDOD                  1    40.0    4.00  INSUFFICIENT
KXACQANNOUNCESPACEX             1    30.0    3.00  INSUFFICIENT
KXACQANNOUNCEJPM                1    30.0    3.00  INSUFFICIENT
KXTRUMPBULLCASECOMBO            1    11.0    1.10  INSUFFICIENT
KXTRUMPBEARCASECOMBO            1    15.5    1.55  INSUFFICIENT
KXIRSCOLLECT                    1    30.0    3.00  INSUFFICIENT
KXWNBACOMPETE                   1    15.0    1.50  INSUFFICIENT
KXNBARELOCATION                 1    95.0    9.50  INSUFFICIENT
KXKAMALAGOV                     1     8.0    0.80  INSUFFICIENT
KXFLPROPERTYTAX                 1    25.0    2.50  INSUFFICIENT
KXANYDEMWINTEXAS                1     5.0    0.50  INSUFFICIENT
KXBRAZILPRES1R                  1    20.0    2.00  INSUFFICIENT
KXSANTACATARINA                 1    30.0    3.00  INSUFFICIENT
KXICELANDREF                    1    10.0    1.00  INSUFFICIENT
KXNFLSFPRACFIELD                1   450.0   45.00  INSUFFICIENT
KXROLEINPRODUCTIONLI            1    20.0    2.00  INSUFFICIENT
KXNFLOWNERSTAKE                 1   415.0   41.50  INSUFFICIENT
KXNBANEWCHAMPION                1    35.0    3.50  INSUFFICIENT
KXNBACOMPETE                    1    30.0    3.00  INSUFFICIENT
KXCOMPANYACTIONRDDT             1    40.0    4.00  INSUFFICIENT
KXNBAMVPDPOY                    1    35.0    3.50  INSUFFICIENT
KXBUNDESLIGATOP                 1    85.0    8.50  INSUFFICIENT
KXNFPROD                        1    30.0    3.00  INSUFFICIENT
KXEPLPOINTMARGIN                1   460.0   46.00  INSUFFICIENT
KXIRANDEMOCRACY                 1     4.5    0.45  INSUFFICIENT
KXTRADEDEFICIT                  1    45.0    4.50  INSUFFICIENT
KXBUNDESLIGAPOINTMARGIN         1   485.0   48.50  INSUFFICIENT
KXIRANIMPORTS                   1    14.0    1.40  INSUFFICIENT
KXNCAAMBKENPOMTOP               1   240.0   24.00  INSUFFICIENT
KXWMARMADROUND                  1   480.0   48.00  INSUFFICIENT
KXLEAVEHOUSECOMBO               1    30.0    3.00  INSUFFICIENT
KXNFLWPMOTY                     1   180.0   18.00  INSUFFICIENT
KXNCAAMBOV                      1   460.0   46.00  INSUFFICIENT
KXNCAAMBSECREGTOP               1   190.0   19.00  INSUFFICIENT
KXNCAAMBSECREG                  1   460.0   46.00  INSUFFICIENT
KXNCAAMBBIGTENREG               1   465.0   46.50  INSUFFICIENT
KXNCAAMBBIGEASTREG              1   185.0   18.50  INSUFFICIENT
KXNCAAMBBIG12REG                1   465.0   46.50  INSUFFICIENT
KXCANUSTRIPS                    1     5.0    0.50  INSUFFICIENT
KXLAYOFFSYPBS                   1    35.0    3.50  INSUFFICIENT
KXLAYOFFSYINFO                  1     1.5    0.15  INSUFFICIENT
KXNFLCOMPETE                    1     5.0    0.50  INSUFFICIENT
KXTRUMPTRADEGAP                 1    90.0    9.00  INSUFFICIENT
KXTORCONDO                      1     5.0    0.50  INSUFFICIENT
KXPERSONAWARD                   1    95.0    9.50  INSUFFICIENT
KXREDWAVECOMBO                  1    30.0    3.00  INSUFFICIENT
KXBLUEWAVECOMBO                 1     5.0    0.50  INSUFFICIENT
KXBLUETSUNAMICOMBO              1     5.0    0.50  INSUFFICIENT
KXNBACUPQUAL                    1   485.0   48.50  INSUFFICIENT
KXCHESSAWARD                    1    30.0    3.00  INSUFFICIENT
KXCANHOUSTART                   1    10.0    1.00  INSUFFICIENT
KXBIZAPPS                       1    35.0    3.50  INSUFFICIENT
KXVANCONDO                      1    45.0    4.50  INSUFFICIENT
KXCALHOME                       1    40.0    4.00  INSUFFICIENT
KXCANHOME                       1    30.0    3.00  INSUFFICIENT
KXDEFGDP                        1    30.0    3.00  INSUFFICIENT
KXNFLWORSTTOFIRST               1    20.0    2.00  INSUFFICIENT
KXSAHM                          1    30.0    3.00  INSUFFICIENT
KXNETANYAHUPARDON               1    25.0    2.50  INSUFFICIENT
KXOTTAWAHOME                    1   325.0   32.50  INSUFFICIENT
KXMTLHOME                       1    50.0    5.00  INSUFFICIENT
KXEDMHOME                       1    45.0    4.50  INSUFFICIENT
KXUSAMEASLESELIMINATE           1     5.0    0.50  INSUFFICIENT
KXYALEDOJSETTLE                 1    35.0    3.50  INSUFFICIENT
KXWEALTHTAXEFFECT               1    25.0    2.50  INSUFFICIENT
KXUSSAUDINUCLEAR                1    25.0    2.50  INSUFFICIENT
KXUKRAINEEU                     1    25.0    2.50  INSUFFICIENT
KXTRUMPMOJTABA                  1    30.0    3.00  INSUFFICIENT
KXTRUMPARCH                     1     5.0    0.50  INSUFFICIENT
KXPOLISOUT                      1     5.0    0.50  INSUFFICIENT
KXPAPJM                         1    30.0    3.00  INSUFFICIENT
KXONTARIOALCOHOL                1    35.0    3.50  INSUFFICIENT
KXNYQSBS                        1     6.0    0.60  INSUFFICIENT
KXNYCTAXMILLIONS                1    13.0    1.30  INSUFFICIENT
KXNYCTAXBILLIONS                1    29.5    2.95  INSUFFICIENT
KXNYCPROPERTYTAX                1    20.0    2.00  INSUFFICIENT
KXNYCMINWAGE                    1    22.0    2.20  INSUFFICIENT
KXNYCDEPTSAFETY                 1    20.0    2.00  INSUFFICIENT
KXNYCCHILDCARE                  1    25.0    2.50  INSUFFICIENT
KXNYAIBILL                      1    30.0    3.00  INSUFFICIENT
KXLUTNICKOUT                    1    19.5    1.95  INSUFFICIENT
KXLOSEMAJORITY                  1     4.0    0.40  INSUFFICIENT
KXLOOMERADMIN                   1    15.0    1.50  INSUFFICIENT
KXLEAVEOPEC                     1    25.0    2.50  INSUFFICIENT
KXKIMIBAN                       1    35.0    3.50  INSUFFICIENT
KXFAINOUT                       1    35.0    3.50  INSUFFICIENT
KXFABLEDISABLED                 1    15.0    1.50  INSUFFICIENT
KXDOJPOWELL                     1    30.0    3.00  INSUFFICIENT
KXDATACENTERMORATORIUM          1    25.0    2.50  INSUFFICIENT
KXCRUDEEXPORTBAN                1    10.0    1.00  INSUFFICIENT
KXCASTRONG                      1    35.0    3.50  INSUFFICIENT
KXCANMIN19                      1    30.0    3.00  INSUFFICIENT
KXBLANCHEDISBAR                 1    25.0    2.50  INSUFFICIENT
KXANDREWSUCCESSION              1    30.0    3.00  INSUFFICIENT
KXALBERTAMINWAGE                1    35.0    3.50  INSUFFICIENT
KXFM30YMTG                      1    40.0    4.00  INSUFFICIENT
KXFARAGEOUTREFORM               1    30.0    3.00  INSUFFICIENT
KXSNAPRESTRICT                  1    25.0    2.50  INSUFFICIENT
KXSAVEACT                       1     1.0    0.10  INSUFFICIENT
KXPATIENTSMONOPOLIES            1    16.0    1.60  INSUFFICIENT
KXJONESACTREPEAL                1    26.0    2.60  INSUFFICIENT
KXDRAINTHESWAMP                 1    12.0    1.20  INSUFFICIENT
KXCONCEALEDRECIPROCITY          1    27.5    2.75  INSUFFICIENT
KXLEGISLATIVECOMBO              1    30.0    3.00  INSUFFICIENT
KXTRUMPOSHEA                    1    20.0    2.00  INSUFFICIENT
KXMEDIAGUESTMMARKS              1    15.0    1.50  INSUFFICIENT
KXMEDIAGUESTJAKESHANE           1     5.0    0.50  INSUFFICIENT
KXMEDIAGUESTERICADAMS           1    15.0    1.50  INSUFFICIENT
KXFEDMEET                       1    29.0    2.90  INSUFFICIENT
KXCOLLEGEGAMEDAYGUEST           1    95.0    9.50  INSUFFICIENT
KX1DREUNION                     1    70.0    7.00  INSUFFICIENT
KXALBUMRELEASETRAVYE            1    25.0    2.50  INSUFFICIENT
KXALBUMRELEASENBAYB             1    35.0    3.50  INSUFFICIENT
KX60MINUTES                     1    15.0    1.50  INSUFFICIENT
KXTRUMPDCTAKEOVER               1    35.0    3.50  INSUFFICIENT
